vehicle_class,entrance_site,exit_site,percentage
3H,16,18,0.034465126
3H,16,17,0.711290652
3H,16,23,0.018033681
3H,16,19,0.037328697
3H,16,B1,0.003852185
3H,16,22,0.001704507
3H,16,B3,0.006579396
3H,16,21B,0.004738529
3H,16,16H,0.039578646
3H,16,20,0.008249813
3H,16,B2,0
3H,17,24,0.052927209
3H,17,15,0.632760369
3H,17,21,0.015569772
3H,17,18,0.054225038
3H,17,17,0
3H,17,23,0.028389482
3H,17,19,0.073304372
3H,17,B1,0.003267524
3H,17,22,0.003517909
3H,17,B3,0.013491577
3H,17,21B,0.007119279
3H,17,16H,0.098501446
3H,17,20,0.016838389
3H,17,B2,8.76E-05
3H,18,24,0.050228695
3H,18,15,0.490501445
3H,18,21,0.020512389
3H,18,18,0
3H,18,17,0.17883099
3H,18,23,0.040814322
3H,18,19,0.144358392
3H,18,B1,0.002525465
3H,18,22,0.003521621
3H,18,B3,0.007155484
3H,18,21B,0.007842972
3H,18,16H,0.015152791
3H,18,20,0.038555434
3H,18,B2,0
3H,19,24,0.072183254
3H,19,15,0.213241133
3H,19,21,0.067286483
3H,19,18,0.123378772
3H,19,17,0.200392624
3H,19,23,0.118702576
3H,19,19,0
3H,19,B1,0.003639492
3H,19,22,0.010764073
3H,19,B3,0.01943268
3H,19,21B,0.028950503
3H,19,16H,0.014602082
3H,19,20,0.127238839
3H,19,B2,0.000187489
3H,20,24,0.051546636
3H,20,15,0.134972665
3H,20,21,0.135090999
3H,20,18,0.088254088
3H,20,17,0.115021419
3H,20,23,0.064421461
3H,20,19,0.320379618
3H,20,B1,0.007952098
3H,20,22,0.009585118
3H,20,B3,0.015691194
3H,20,21B,0.044375547
3H,20,16H,0.01159681
3H,20,20,0
3H,20,B2,0.001112347
3H,21,24,0.100077374
3H,21,15,0.216545854
3H,21,21,0
3H,21,18,0.033983548
3H,21,17,0.076172829
3H,21,23,0.233914318
3H,21,19,0.141635446
3H,21,B1,0.013133246
3H,21,22,0.022051637
3H,21,B3,0.020646685
3H,21,21B,0.030908943
3H,21,16H,0.005986317
3H,21,20,0.104536569
3H,21,B2,0.000407232
3H,21B,24,0.126244555
3H,21B,15,0.290603609
3H,21B,21,0.04381871
3H,21B,18,0.015556938
3H,21B,17,0.087689276
3H,21B,23,0.183390375
3H,21B,19,0.057016179
3H,21B,B1,0.044492844
3H,21B,22,0.056004978
3H,21B,B3,0.051026758
3H,21B,21B,0
3H,21B,16H,0.005419
3H,21B,20,0.036999585
3H,21B,B2,0.001737191
3H,22,24,0.125823768
3H,22,15,0.088508707
3H,22,21,0.039366299
3H,22,18,0.015493388
3H,22,17,0.045214507
3H,22,23,0.177846637
3H,22,19,0.029982979
3H,22,B1,0.140793436
3H,22,22,0
3H,22,B3,0.214463405
3H,22,21B,0.092305678
3H,22,16H,0.002793174
3H,22,20,0.014140444
3H,22,B2,0.013267577
3H,23,24,0.115406552
3H,23,15,0.451695157
3H,23,21,0.118468068
3H,23,18,0.024349533
3H,23,17,0.073476372
3H,23,23,0
3H,23,19,0.067923705
3H,23,B1,0.002918924
3H,23,22,0.037442754
3H,23,B3,0.022294543
3H,23,21B,0.057237758
3H,23,16H,0.005250709
3H,23,20,0.023066213
3H,23,B2,0.000469712
3H,24,24,0
3H,24,15,0.455783685
3H,24,21,0.043027916
3H,24,18,0.032898026
3H,24,17,0.143476087
3H,24,23,0.115489524
3H,24,19,0.057200993
3H,24,B1,0.001473439
3H,24,22,0.032871714
3H,24,B3,0.015900859
3H,24,21B,0.045816925
3H,24,16H,0.033511959
3H,24,20,0.022382235
3H,24,B2,0.000166639
3H,B1,24,0.003508326
3H,B1,15,0.046401981
3H,B1,21,0.007889766
3H,B1,18,0.003413078
3H,B1,17,0.018843364
3H,B1,23,0.012096582
3H,B1,19,0.005889543
3H,B1,B1,0
3H,B1,22,0.07858016
3H,B1,B3,0.766132745
3H,B1,21B,0.032336926
3H,B1,16H,0.001920848
3H,B1,20,0.004238566
3H,B1,B2,0.018748115
3H,B2,24,0.008347826
3H,B2,15,0.033043478
3H,B2,21,0.007652174
3H,B2,18,0
3H,B2,17,0.010434783
3H,B2,23,0.028869565
3H,B2,19,0.002086957
3H,B2,B1,0.458434783
3H,B2,22,0.127304348
3H,B2,B3,0.297391304
3H,B2,21B,0.02226087
3H,B2,16H,0
3H,B2,20,0.004173913
3H,B2,B2,0
3H,B3,24,0.037128384
3H,B3,15,0.108024132
3H,B3,21,0.011425048
3H,B3,18,0.005851559
3H,B3,17,0.074438117
3H,B3,23,0.035169804
3H,B3,19,0.018473517
3H,B3,B1,0.583040151
3H,B3,22,0.083940856
3H,B3,B3,0
3H,B3,21B,0.021314666
3H,B3,16H,0.003300569
3H,B3,20,0.007338629
3H,B3,B2,0.010554568
3L,15,24,0.338753781
3L,15,15,0
3L,15,21,0.076811534
3L,15,18,0.041658035
3L,15,17,0.252496168
3L,15,23,0.077101545
3L,15,19,0.114637279
3L,15,B1,0.007954593
3L,15,22,0.003790861
3L,15,B3,0.02326304
3L,15,21B,0.010647554
3L,15,16H,0
3L,15,20,0.051932717
3L,15,B2,0.000952894
3L,16,24,0.207271828
3L,16,15,0.008409597
3L,16,21,0.060598565
3L,16,18,0.056888449
3L,16,17,0.399703191
3L,16,23,0.058619837
3L,16,19,0.103883255
3L,16,B1,0.006678209
3L,16,22,0.002720752
3L,16,B3,0.01137769
3L,16,21B,0.007420233
3L,16,16H,0.015829829
3L,16,20,0.060598565
3L,16,B2,0
3L,17,24,0.19194699
3L,17,15,0.319795869
3L,17,21,0.066582948
3L,17,18,0.063456863
3L,17,17,0
3L,17,23,0.058968125
3L,17,19,0.13450183
3L,17,B1,0.009618724
3L,17,22,0.004274989
3L,17,B3,0.029871483
3L,17,21B,0.01213028
3L,17,16H,0.053918294
3L,17,20,0.054105325
3L,17,B2,0.000828279
3L,18,24,0.188720174
3L,18,15,0.170115134
3L,18,21,0.061571834
3L,18,18,0
3L,18,17,0.165359586
3L,18,23,0.051810446
3L,18,19,0.20574003
3L,18,B1,0.010095111
3L,18,22,0.008843651
3L,18,B3,0.022192558
3L,18,21B,0.020273653
3L,18,16H,0.01993993
3L,18,20,0.075337894
3L,18,B2,0
3L,19,24,0.152175065
3L,19,15,0.219837864
3L,19,21,0.059397022
3L,19,18,0.107773009
3L,19,17,0.19260319
3L,19,23,0.073067345
3L,19,19,0
3L,19,B1,0.01133895
3L,19,22,0.005722461
3L,19,B3,0.033434006
3L,19,21B,0.022359985
3L,19,16H,0.023949558
3L,19,20,0.097758703
3L,19,B2,0.000582843
3L,20,24,0.122305444
3L,20,15,0.227986847
3L,20,21,0.066222141
3L,20,18,0.081202046
3L,20,17,0.15390939
3L,20,23,0.058366825
3L,20,19,0.186152722
3L,20,B1,0.014340519
3L,20,22,0.005571794
3L,20,B3,0.037906467
3L,20,21B,0.022104494
3L,20,16H,0.023931312
3L,20,20,0
3L,20,B2,0
3L,21,24,0.160561613
3L,21,15,0.234292886
3L,21,21,0
3L,21,18,0.056867205
3L,21,17,0.164405051
3L,21,23,0.099145031
3L,21,19,0.090516903
3L,21,B1,0.022354694
3L,21,22,0.011530316
3L,21,B3,0.03898345
3L,21,21B,0.028943447
3L,21,16H,0.022119382
3L,21,20,0.070280022
3L,21,B2,0
3L,21B,24,0.224773414
3L,21B,15,0.090483384
3L,21B,21,0.044259819
3L,21B,18,0.039425982
3L,21B,17,0.056646526
3L,21B,23,0.170694864
3L,21B,19,0.076283988
3L,21B,B1,0.106495468
3L,21B,22,0.023413897
3L,21B,B3,0.105740181
3L,21B,21B,0
3L,21B,16H,0.004984894
3L,21B,20,0.05347432
3L,21B,B2,0.003323263
3L,22,24,0.200974704
3L,22,15,0.040148526
3L,22,21,0.038291947
3L,22,18,0.022046879
3L,22,17,0.034114644
3L,22,23,0.091204456
3L,22,19,0.026456254
3L,22,B1,0.300533767
3L,22,22,0
3L,22,B3,0.162914829
3L,22,21B,0.04919935
3L,22,16H,0.002320724
3L,22,20,0.01926201
3L,22,B2,0.01253191
3L,23,24,0.150929586
3L,23,15,0.239935588
3L,23,21,0.085199824
3L,23,18,0.046698873
3L,23,17,0.129776021
3L,23,23,0
3L,23,19,0.103645147
3L,23,B1,0.003806178
3L,23,22,0.030888596
3L,23,B3,0.032645294
3L,23,21B,0.095081247
3L,23,16H,0.017932953
3L,23,20,0.062435954
3L,23,B2,0.00102474
3L,24,24,0
3L,24,15,0.410035804
3L,24,21,0.061133971
3L,24,18,0.064500615
3L,24,17,0.164885374
3L,24,23,0.053786138
3L,24,19,0.082883557
3L,24,B1,0.001148934
3L,24,22,0.024047454
3L,24,B3,0.008229573
3L,24,21B,0.052610485
3L,24,16H,0.022230535
3L,24,20,0.054053332
3L,24,B2,0.00045423
3L,B1,24,0.001512712
3L,B1,15,0.019665252
3L,B1,21,0.010393793
3L,B1,18,0.005465281
3L,B1,17,0.015029522
3L,B1,23,0.00273264
3L,B1,19,0.01146733
3L,B1,B1,0
3L,B1,22,0.050261065
3L,B1,B3,0.802322744
3L,B1,21B,0.03493876
3L,B1,16H,0.001463915
3L,B1,20,0.008637096
3L,B1,B2,0.036109891
3L,B2,24,0.023594378
3L,B2,15,0.042670683
3L,B2,21,0.00753012
3L,B2,18,0.005522088
3L,B2,17,0.019076305
3L,B2,23,0.011044177
3L,B2,19,0.008032129
3L,B2,B1,0.499497992
3L,B2,22,0.031124498
3L,B2,B3,0.320783133
3L,B2,21B,0.028614458
3L,B2,16H,0
3L,B2,20,0.00251004
3L,B2,B2,0
3L,B3,24,0.038754765
3L,B3,15,0.044427301
3L,B3,21,0.019695044
3L,B3,18,0.010982029
3L,B3,17,0.0379833
3L,B3,23,0.028271919
3L,B3,19,0.025957524
3L,B3,B1,0.686830641
3L,B3,22,0.029860229
3L,B3,B3,0
3L,B3,21B,0.029361046
3L,B3,16H,0.002904338
3L,B3,20,0.02686513
3L,B3,B2,0.018106734
4H,15,24,0.156437132
4H,15,15,0
4H,15,21,0.014063738
4H,15,18,0.03198755
4H,15,17,0.563390983
4H,15,23,0.088291519
4H,15,19,0.044531767
4H,15,B1,0.020056043
4H,15,22,0.003798802
4H,15,B3,0.032342922
4H,15,21B,0.021003701
4H,15,16H,0
4H,15,20,0.023924285
4H,15,B2,0.000171559
4H,16,24,0.055072187
4H,16,15,0.002485897
4H,16,21,0.01998279
4H,16,18,0.086050292
4H,16,17,0.654938331
4H,16,23,0.018835453
4H,16,19,0.06597189
4H,16,B1,0.002963954
4H,16,22,0.001912229
4H,16,B3,0.019122287
4H,16,21B,0.045511043
4H,16,16H,0.007170858
4H,16,20,0.019122287
4H,16,B2,0.000860503
4H,17,24,0.132794653
4H,17,15,0.534736441
4H,17,21,0.014493612
4H,17,18,0.040790253
4H,17,17,0
4H,17,23,0.046192571
4H,17,19,0.096924444
4H,17,B1,0.011794568
4H,17,22,0.003621288
4H,17,B3,0.042770116
4H,17,21B,0.0106608
